,Users,Comments
0,maddie,i think i need to pay attention to really understand this movie but i have failed twice now. i can tell you two things: cillian murphy looked hot and hans zimmer is fucking incredible
1,Ibuprofen,Toxic relationships truly follow you everywhere.
2,astuc18,Nolan fanboy bias
3,yagamemes,"so based, only saw it like 6 months ago and loved it so much"
4,Alex,"I think this is Nolan's strongest film, balancing both a difficult, complex science fiction concept and developing a poignant tale of loss and forgiveness. My favorite interpretation of this movie is that Mal is a ghost, haunting Dom from dream to dream, and he can't even escape into another person's mind."
5,Claire,Hans Zimmer>>>>
6,Snachoo,wacky
7,amber,joseph gordon-levitt
8,Sophia G,"deep as a shallow end of the pool, but the shallow end is fun"
9,GeorgeAmmerlaan,I bloody love the music by Hans Zimmer
10,abbylogsdon,this movie will always be a staple of mine. also cillian murphy? enough said.
11,wendelsic,mano kkkkk
12,Yavuz Selim Ã‡akÄ±r,Everything is so perfect in this movie. Masterpiece.
13,searchers97,I finally saw it. I like the hotel hallway shot. I like to think about it every now and then because of how well choreographed it is
14,mariana,"i'm still trying to decide if i'd like someone to decide to infiltrate my own subconscious. but i know if the person were tom hardy, obviously the answer is YES."
15,TuÃ§e SarÄ±,Bu ekiple her ruyaya dalarim.
16,Ini,YUP. Instant favorite.
17,Georgia,"everyone likes this movie, it's too fucking long for me."
18,owengroves,Class
19,hilda rosell,i use this movie as tinder
20,Dylan Hrivnak,This would make a great Call of Duty.
21,blimeyslimey,Is this a dream? Is this a dream? Is this a dream? THEN WHAT IS A DREAM
22,moviecee,Good but Long. Not a good rewatch candidate.
23,Ingat guys,Ingat guys
24,Maddie,The cinematography was fucking beautiful holy shit
25,nealgoogs,Confusing first time around. But made sense second time.
26,J,a lot easier to understand than i thought
27,Vago_Aprecio,Normalmente no me gustan los finales abiertos pero este en particular termina siendo genial.
28,Junorune,Cool ass film
29,lu,eames and arthur my favorite boyfriends <3
30,valocity,dream heist!!!!!! didn't give a shit about cobb though I hope he gets better soon
31,Jamespayne61,Incredible
32,BamBoozled123,"Nolan at his most comfortable. From visuals to story, this is the definition of a modern sci-fi masterpiece."
33,ðŸª,tom hardy and cillian murphy in a movie together? you have my complete attention
34,v,what the fuck
35,Fractals,100 / 100
36,Ashwin,A Kick!!
37,JackJ1234,"This may be my favorite Nolan film of all time. The cast is incredible, the story is great, and Zimmer has yet again out done himself on the score. Just a masterpiece of a film."
38,Liam Crawford,"Folding streets, a spinning corridor, messing with time and dreams, Nolan, DiCaprio, Zimmer. C'mon this is a five star film."
39,247,"A perfect movie. ""Figure it out yourself"" endings are the worst, normally. But it was perfect for this movie. Time travel is usually the worst, but this movie did it perfectly."
40,Travis Bickle,Cool movie.
41,emmy,"good film, figured it out easy tho"
42,kubredi,Really fun film. You do have to kinda glaze over certain aspects and rules to truly enjoy it though. Cillian Murphy is amazing
43,anj (ã¥ï½¡â—•â€¿â€¿â—•ï½¡)ã¥,usto q rin managinip kasama c crush xd
44,reinb0wdaschw4g,i dont understand like 20% of this movie but i do know that this is one of the best concepts for a movie ever
45,L,good soup
46,sierrabasco,Joseph mf Gordon-levitt
47,Jericho,"masterpiece, the plot is unique, Christoper Nolan is one of the best directors out there, Leo is such a great actor, he never dissapoints with his film choices, my only regret is that i never got to see this movie in theaters"
48,movielistvalee,Also is the amazing Leonardo DiCaprio here soooo
49,rowan,this shit sucks
50,LJF25911,Loved this movie definitely one of my favourites
51,Richard DÃ­az,I feel like this movie just gets better with time.
52,GBob,"Not my sort of thing, it was ok."
53,Charles Long,(Somehow missed this gem the last 23 viewings)
54,07 Nov 2021,Still rips 11 years later
55,wellokiguess,"I used to say that I hated this movie bc it was overhyped and ripped off Paprika, but after rewatching it several years later, and after getting much more into film appreciation than I was when it was first released, I take most of it back. It did steal a lot of ideas and imagery from Paprika, but at least Nolan supposedly admitted where the inspiration came from, and then did a damn good job in creating what is in fact a very good movie. Paprika is still better, but I just can't bring myself to be as contrarian against Inception as I used to be."
56,Ashton,"Cool concept, corny acting and cliche lines."
57,nickmountain,Really long but it has Leonardo DiCaprio.
58,LeÃ³n Mayen,Lio
59,imagine567,Nolan deserves an award on that ending alone
60,HuckDizz,Incredible cast. Incredible tense atmosphere.
61,cass,what
62,JulianM8,Space and time go *warp*
63,umadaniel4,good soup
64,Emma ðŸŽ…ðŸ¼,"Cillian Murphy , Leonardo Di Caprio and Tom Hardy what more could you possibly ask for?"
65,mosesli12,I watch this once a quarter
66,Kyle,slowed down) is used much more often and to greater effect.
67,hiraetheq,loved the plot but I would liked it more if the characters were more complex and the realtionships between them more amplified.the exposition was in some ways disappointing in contrast with the intelligent donouement that was kind of thought provoking. another thing I want to mention is that I believe that the whole aesthetic and all the visuals could've been smarter created.
68,cldtdy,I wanna go back to when everyone parodied this on YouTube
69,jenna <3,a perfect film.
70,ã…‹,the plot: *Cillian Murphy*
71,meghana,I think I forgot to review this right after watching it cause I was still stunned
72,jlmears,Technically incredible. But I'm still not sure I am smart enough to understand this movie.
73,Lili,The visuals were amazing and the storyline was really cool
74,Maritony,christopher nolan's movies always challenge my not so functional brain cells lol
75,graysonity,"Truly, a Christopher Nolan's film that went down on history and is a masterpiece."
76,Matias Pepa,se meten en mi cabeza y aparece chespirito
77,Petacho,"Le meilleur nolan... Comment des gens n'ont pas compris ce film, TOUT EST EXPLIQUE PENDANT LA PREMIERE HEURE"
78,hellomerio,"glad i finally watched it so i get where all the praise is from, but i'll admit im a bit disappointed. for a film with such a great concept, the exploration into that concept is not as in depth as i would have liked. i do think the pacing is very well done with it being 2 1/2 hours, but i'll admit this movie didn't click with me as much as i hoped."
79,adsaddieaddie,Obsessed
80,adib !!,um so this is really good but i am still confused
81,JackiesBadTakes,"Hilariously, I fell asleep and dreamt of a better movie. This isn't even a joke review, this actually happened."
82,buffalo,"Been watching a lot of Nolan films after being completely obsessed with Tenet. This one was absolutely great. Nolan's classic ""fuck with one rule of our reality and make an amazing action heist movie out of it for 2 and a half hours"" is great here, as always."
83,notedp,"A welcome mind fuck, excellent score and thought provoking"
84,alia ðŸ¦‡,When your circle small but y'all crazyy
85,juliasilva04,Got me confused for a sec
86,Donsly,idk or smt like that
87,biggoobz,movie within a movie movie
88,addie,what the fuck
89,allyrrbb,"good movie, music was really dramatic"
90,06 Nov 2021,ughhhgghhghghghhhggghghhhhh
91,Benedict Crumpledink,Visual and auditory herpes
92,selyles,Longer than Ratatouille.
93,Garbo,"A profound film about grief and guilt, and how these extreme emotions can haunt you. Great cinematography."
94,Hartvik,Fantastisk
95,emma,i'm a little lost but fair enough
96,em,the concept of this movie is so out of this world and perfect
97,Jago,Holds up
98,hazza101,Sexy film
99,Josh,Chills every time
100,betha1234,"Pretty long but good action scenes, some of that shit had me on edge. I still don't get the ending on the 3rd watch. It could def have been edited down on time tho"
101,Marshall B.,I always get super tired whenever I see ppl sleep in movies lmao so I was fighting sleep during this damn movie hahahaha
102,jules,this movie made me actually think
103,kyle wasylowich,Cobb vs Freddy
104,Johnpilled,Bro literally phased so hard
105,BPJandPBandJ,After a second watch it definitely is where it belongs on my top 100 list
106,goblin7,Limbo sounds wild
107,vytautemorkut,What I personally loved is how the beginning and the closing scenes collided. These particular shots made a whole film seem like a magical never-ending dream/scene.
108,The7works,"Great movie, lots of stuff to dissect about the film, and this film could be watched endlessly without it getting boring or stale."
109,Benzy,I have a crush on Joseph Gordon-Levitt and Cillian Murphy
110,allpeace,Best Christopher Nolan movie IMO.
111,Arturo Spyro Moreno Lopez,Gotta love that Piz Gloria inspired set piece.
112,Hagen Jensen,Just an absolute spectacle. Still holds up 100% even 11 years later.
113,leahmcgruder,"Top 10 fav movies of all time, never gets old"
114,mony78,"A mix of Jungian psichoanalysis with bits of 007, there are four levels of inventivity."
115,John Gaudet,Easily Nolan's best work to date
116,rayejaym29,The mindfuckery is strong in this one.
117,peet27,MY BRIAN FEELS LIKE MUSH
118,may,if i had a totem it would be a pink taser that only works in real life
119,LIA ðŸ•Š,"Watched it again after a really long time and it's still as confusing. Tom Hardy looks as good as ever, and oh what a talented man Hans Zimmer is."
120,luke,"Don't let edgy kinophiles fool you, Christopher Nolan is a master of his craft, his defining brand of so-called ""art house blockbusters"" are capable of being equal parts thrilling, visually stunning and emotionally potent - the latter of which is no more clear than in Inception."
121,andreasrvu,high quality.
122,Iris,this movie was fucking incredible between the visuals and concept and aaaaaah i really want to rewatch soon it was great!
123,jude,robert fischer the first hot billionaire
124,Nirbhay Sastry,"At First When I Heard About This Film,I Was Only Interested In It Because It Was Made By The Director Of Batman Begins And The Dark Knight Christopher Nolan.But When I Saw This Film On July 31st 2010,I Was Enthralled By The Concept Of Dreams Within Dreams! Wow! And The Devine Team Of Christopher Nolan,Hans Zimmer And Wally Pfister Were Again At Peak In This Film With The Direction, Background Scoring And Cinematography. From Start To End This Film Was A Masterpiece."
125,Shockd,Wow. Another amazing Christopher Nolan film.
126,macy bristol,dom Cobb
127,preshi,Great movie
128,jaki,"not bad, not bad"
129,gabi,a cena no gelo parecia o esconderijo do pai natal e o final era um sonho
130,sunshinesarah,One of my favorites
131,joey,sexc ppl
132,lula,- michael scott
133,lainpilled69,very good but why does leonardo dicaprio never have a happy romance in a single movie like his wife always dies every time
134,Esme,Hot cast
135,JamesHardenMVP,"What an insane movie. Not really sure what happened to be honest but the performances and cinematography was great. Definitely needs a revisit to really appreciate it but I can see why it so loved. Loved the cast with Leo, cillian Murphy and Tom hardy."
136,kuhliejr,daddy
137,Bella,Ariadne is so cool I really want Christopher Nolan to work with Elliot Page again!
138,05 Nov 2021,The centre cannot hold.
139,Benedict Crumpledink,What a giant donkey queef of a movie. A religious sermon by OJ Simpson is more tolerable.
140,Marit,kind of gay isnt it?? could appreciate it
141,Ashiko,let's all thank christopher nolan for the prettiest cast
142,india,tom hardy and cillian murphy marry me challenge
143,mysteryfilm,"Tom Hardy is hot. Its cool its like a Hollywood film and its a semi original story, failed to engage me though."
144,Santiperucca,Nolan you pretentious little fucker
145,TicTacTova,"Kind of amazed that this movie essentially changed the public's conception of what the word ""inception"" even means, thus missing the theme of the movie. ""Inception,"" at least for a while, came to mean 'a thing within a thing' referring to the nested dreams, when in reality (lol) it means 'the start of something.' Usually an activity or institution, but in this case, belief. Inception of belief. Where belief comes from. How a single belief can destroy your life and/or the lives of others."
146,Marina,Nolan really snapped with this one ngl
147,scott,we love to see trans masc love on screen
148,rninski,Still bangs
149,loserswar,"a mente da pessoa que criou esse filme, tenho medo"
150,Bennett Webber,Tom Berenger is in this. That's not discussed enough.
151,Michal,Trippy throughout but the ending is really wild
152,rodrigo,ps ily cillian murphy you're so pretty and i wish i could kiss u and feel your soft skin and play with your silky hair... god im lonely and needy
153,argentina o muerte,necesito que el hijo de puta de tom hardy me pague la terapia o me de un beso es lo mismo pero lo necesito YA
154,Hanna,fucked me up!!!!!!!!
155,sam,-love the use of ticking sound throughout the movie
156,Anna van der Bent,"Have you ever had a dream that, that, um, that you had, uh, that you had to, you could, you do, you wit, you wa, you could do so, you do you could, you want, you wanted him to do you so much you could do anything?"
157,what was the deal with joseph gordon-levitt and tom hardy's characters,what was the deal with joseph gordon-levitt and tom hardy's characters
158,Zo,Confusing to the point of satisfaction when everything clicked. Nolan is at some of his best with practical effects that please the eye.
159,Among_The_Dead,So damn impressive.
160,marahpetre,did we all watch this in AP Psychology in high school or was it just me?
161,timofreee,"the last scene is reality, not a dream. the kids clothes are different. your welcome."
162,Dillon,the state or quality of being perfect.
163,hasssspppp,this movie does raise more questions than it answers
164,lynchsunrise,every time i watch this i can't help but admire how hot cillian murphy is
165,Ash,Inception.
166,SethSG,I slept in too long once
167,rhythmiccinema,"""Downward is the only way forward."""
168,catherinac,Felt gay
169,bruhsteven,ideal relationship dynamic
170,Alejandro,What else do i need to say about this movie?
171,goldenndayys,this shit is confusing but i like looking at leonardo dicaprio
172,jenna,subtle slay
173,maria,christopher nolan vai ter o seu nome escrito na minha carta de suicidio
174,Nacho Narwhal,"If there's anything that bothers me about Nolan films, it's the editing."
175,Hokage farantino,Who even has the ability to think of such a plotline?
176,kirk,i dont like this movie the way cis men do i like it in a funny way
177,Master_Matt,I liked it
178,Habeeb,FIVE FUCKING STARS! I have no words. I absolutely adore this movie. Fucking masterpiece.
179,starzz,my brain can't afford this..
180,James Walsh,Those last 5 minutes are complete perfection
181,Deniz Gurcan,A brave and groundbreaking performance given by elliott page to play a woman character.
182,antedks,Fuckit bumping this shit half a star
183,ga8irodriguez,did i have to watch ending explained vids when i first watched this years ago? yes. do i love this movie? still yes. my brain loves to spiral
184,secretlyluigi,"i didn't understand a single minute of this but cillian, leo, and tom hardy all in one movie ? perfect. literally a buffet of men. thank you christopher nolan, u sure do have great taste in men"
185,D,Love this movie so much
186,Dania GarcÃ­a,"I had to watch a video explaining the ending lol. Great movie, Great Plot, Great Acting, Great Effects. Loved it"
187,Rome,Really really suspenseful film
188,Kelsie,x
189,Dulina Chandrasiri Bruh,THIS FILM HAS LITERALLY EVERYTHING GOING FOR IT. Hans Zimmer pulled THROUGH WITH THE BANGERS.
190,bryony03,Good concept. Way too long
191,anna_kelly,this is insane. watch it.
192,peacemac,"An idea is like a virus, resilient, highly contagious. The smallest seed of an idea can grow. It can grow to define or destroy you."
193,Vale007,Best Nolan film
194,brooke,arthur and eames do you have something to tell us
195,mollieguest,Woah this was crazy
196,Ava,to be perfectly honest with you I could not get past the first 20 minutes of this movie. just not my vibe sorry
197,penny dick,alrighttt?bwhu r so many ppl so imperfect and stupid lmao
198,damn i am super impressed. a movie that lived up to its hype which doesnt happen often. that was such an insane concept for a movie and pulled off in a basically flawless way. the pacing was perfect the casting and acting were perfect the writing was amazing they just hit the nail on the head in every way. super interesting the whole way through which never happens. not sure what else to say just i enjoyed that a hell of a lot more than i expected to. absolute banger,damn i am super impressed. a movie that lived up to its hype which doesnt happen often. that was such an insane concept for a movie and pulled off in a basically flawless way. the pacing was perfect the casting and acting were perfect the writing was amazing they just hit the nail on the head in every way. super interesting the whole way through which never happens. not sure what else to say just i enjoyed that a hell of a lot more than i expected to. absolute banger
199,tofusmofu,"it's been 11 years and this movie still such a mindfuck. a very simple concept, but the nonlinear yet brilliant storytelling, the way the ensemble cast played off one another, the score, just EVERYTHING, adds layers of complexity that'll probably keep me up thinking about it all night. i mean, eventually i'd fall asleep, but then i'd start thinking about it in my dreams. and then in my dream i'd fall asleep, and start thinking about it in that dream. and then-- wait a minute..."
200,ðŸ…,christopher nolan i love you SO!!!!!!!!!!!much
201,taaaaaamy,eu amo um filme
202,Diogo Matos,My grade: 100%
203,bradyb03,Nolan you goddamn genius
204,eoghandaly,Loved it
205,ThePizzalorian,"Great movie, a bit complex, great pacing, great acting. Amazing action sequences and an all-star cast."
206,vinicius,"menina, passei exatamente por isso noite passada"
207,ingrid,eu acho que to sonhando
208,Filipe Teixeira,my pronouns are film/bro
209,LimaCream,Feel like this and Speed Racer was what got me into movies. It would've been the Dark Knight but I was too scared as a kid to see that movie. Shoutout to my uncle for introducing me and indoctrinating me into movies.
210,shae,this is what we called a masterpiece
211,saharrrr,cant lie i watched this the first time for joseph gordon-levitt. then watched again for joseph gordon-levitt. watched a third time for the plot but WOW JOSEPH
212,YOUROPINIONRONG,Trippy
213,marialv,all of their problems would be fixed if tom hardy turned into venom
214,patrick_smit,Made me sleepy
215,The_Patriot_Act,Watched this at the dawn of time. Good movie
216,Charlie,I do this to you when your asleep aswell xxxx
217,Tyrone,what if nolan just wakes up casually then writes these shits
218,violet,my brain hurts now
219,Shukh,Changed the meaning of the word inception forever
220,ederm,o final... putz
221,Maxime,"i also fell asleep for like 15 minutes while this was playing in my ears, so obviously i was like dreaming weird shit with the audio from the movie, which felt really meta because the movie is about dreams (obviously, i dont think i had to clarify why)"
222,august,taught me that my dad is a little too eager abt watching nolan movies
223,JordanLewis,The cinematography makes up for the plotholes
224,balin moreno,liked this slightly more the second time x
225,Zoreo,I got it this time
226,Grayybrost,Mehhhhh
227,Stormin Norman,Fuck Leo for making me feel so much. I just wanted to watch a Nolan spectacle.
228,Emily,"I thought this was fantastic, it was mind boggling and I was worried when I began watching it would be overcomplicated but every single moment of the film was engaging and fit perfectly like a puzzle."
229,alexniehans,One of if not the best Christopher Nolan movie. Soundtrack is suberb and Leo deserved in Oscar for his performance.
230,01 Nov 2021,MID
231,cagedhunters,"faith and conviction, regret and yearning. and above all, one damn good heist."
232,Aniish,10
233,gabe_22,8.5/10 - 4/5
234,acleone,I mean this film it's great. I don't know which words Are better than eccentric and pragmatic
235,Niko Blando,"Largely lives up to the hype, but it doesn't explore its premise as thoroughly as it could."
236,Kenny2662,Perfectly created cliff hanger at the end..
237,erinlyn,robert fischer let me be your woman
238,jasonbateman33,Good but not for me
239,yvonne,almost fell asleep in the end but its a classic
240,Danny,"Back in 2010, I was too young to fully understand what a masterpiece this is. I still have questions, but that's the beauty of it."
241,viti,i felt dumb watching but i loved it
242,marta,omg cilian murphy
243,Alexander Winberg,"Top two Nolan, iconic film"
244,rorofosho,My favorite Christopher Nolan film ever. Leo DiCaprio is so good along with the rest of the cast. Had me questioning reality leaving the theater in 2010 at 14 years old too haha
245,llizzym,Need to rewatch it
246,HugoDH,Good movie
247,Luke Vanderkar,Probably my favorite movie of all time. Just brilliant in every way
248,spencerhochhaus,christopher nolan is elite
249,linqicp,esse expandiu meu cerebro tbm
250,deerinara,para hombres tbh
251,ray,two and a half hours of waiting for joseph gordon levitt and tom hardy to make out
252,Matt,Hey this movie took that spinning hallway thing from Lionel Ritchie!!
253,beatfox15,It was weird but still good
254,babasheep123,Very wow. Intriguing.
255,Chase Hinnant,The birth of BWAAAAAHHH
256,zerojimmy,Dikke mindfuck film. Erg interessant
257,kes,yassss gay people
258,vittoriavai,im speechless.
259,lani,i didnt know the cast was this good ????? thanks nolan for this masterpiece holy shit
260,Kayla,It is one of those films that you cannot take your eyes off of and baffles you at every twist and turn. Thank you Nolan for this masterpiece.
261,yudaasuka,bagus
262,Freyja,came into this for cillian murphy and i came out confused
263,CapyMax,"NOLANS MASTERPIECE. Dreams/Filmmaking, James Bond kinda setpieces, amazin cast. Come on I get the first hourr is kinda just exposition but it's done so well that i couldn't CARE. So many theories, just dope dope dope."
264,mari,o famoso shifting
265,Sivakshan,The movie that dares you to dream a little bigger.
266,31 Oct 2021,This is confusing af
267,kaylee ðŸ‘‹ðŸ¼,THAT THIMBLE BETTER OF FUCKIN FELL
268,Ian Knight,"I hadn't watched this movie ever until now and I just have to say, it is amazing. As a first-timer to this movie, at first it was a very confusing story and hard to follow. But after getting more emotionally and overall invested into the film, I felt like I was a part of every level. I am so glad one of my best friends made me watch this, 110% worth it!"
269,ari,"forever grateful to nolan for putting tom hardy, jgl and cillian murphy in one movie"
270,Joaquin Fregoso,It didn't make sense at first but when I rewatched ot is was amazing
271,BootyClappa,Blew my mind so good
272,grayindustries,My favorite movie.
273,30 Oct 2021,Oh does this hold up and how!
274,Joseph Mintz,what would happen if Leonard Shelby were to get extracted
275,Jonathan Dauber,Cotillard and DiCaprio are Oscar-worthy in this
276,shores24,Terrible. Shit movie. Awful. I hateit.
277,austinm05,Ngl this movie is really overrated I wish I could enjoy it more
278,idkyou,i think my head exploded
279,sima_s,"i waited so long to watch this and i could not tell you why...this was amazing, most of y'all probably already know that though"
280,millsterbobs,more joseph gordon-levitt
281,anne_hamilton,genuinely my favorite movie ever
282,Alexandra Piligriu,One word. Masterpiece. And god that soundtrack will always be my favourite of all time.
283,movieswithluke07,5/5
284,alligunes,I'm disappointed because you tried to be like me
285,Davin Gilligan,a classic.
286,gretchenwiener,pretty wacky stuff
287,yuvslup,The Matrix + the nightmare on Elm street + shutter island + san junipero + sleeping beauty + iron man + the 3 hour nap I took yesterday
288,BasicFig,I completely understood this movie... then the acid wore off
289,Kaashaaan,damn
290,30 Oct 2021,there was not a moment in this movie where i knew what was going on
291,ly,two hours of me asking my friend to explain wtf is happening
292,MRScully,"An amazing mind-bender of a flick. Strong performances throughout, enhanced by a striking score."
293,Janek,"I didn't check the full cast beforehands and... Cillian Murphy :)) A surprise to be sure, but a welcome one! A very welcome one ;))"
294,nayla,whatever that means i guess also cillian murphy hot
295,Pipe11,sou mt fa do dicaprio e aqui n foi diferente
296,alina,"Nolan is so good with introduction in all his movies but it is god tier in this one. In first ten minutes, you know enough rules to understand but you have still enough question to keep you on track and you seen enough action to not getting bored. That way he can still even keep normal audience. He is seriously so good editing and passing. And this film is his masterpiece in that era."
297,adashofnirvana,Cannot even begin to comprehend how Mr. Nolan's mind comes up with intricate ideas like these. That and Mr. Saito is the real MVP of this movie.
298,kristab3l,the most perfect cast ever
299,korvin,very good i liked it this is basically living in delusion + gaslighting no?
300,nabbigs,This is the reason why I love sci-fi films.
301,Kaycee,"But oh, it totally was."
302,andrÃ©,O MAIOR FILME DO MUNDO
303,nomko,LIL WAYNE 6 FOOT 7 FOOT MUSIC VIDEO INSPIRED THIS MOVIE!!!
304,sophialives,watched this when i was 11 (sober) and did not understand a fucking thing. watching this now at 21 (high) and brooooooooooo
305,ðŸ,this was hella good i like christopher nolan
306,sofia,FUCK YEAAAAHH oh and also eames and arthur youre both gay as fuck
307,Honjia Koolhaas,Amazing
308,Thomas Koetting,Why does Christopher Nolan just do it better? If anybody else did this it'd be too ambitious and poorly executed but Nolan just takes these mind-bending concepts and makes them work so well.
309,lili,a banger
310,TheReaLudoz,Mamma mia Nolan sei un sopravvalutato
311,Garrett Zavaglia,B+
312,Jake Wells,"The most uninspired delivery of this concept imaginable, made only worse by its fans patting themselves on the back because they think nobody else understands it but them and the open ending is definitely a stroke of genius and not a lazy, cheap non committal way of closing the film."
313,ellps,hope nothing goes wrong
314,Gagostoso,Nolan
315,MrMatty1,"I really enjoyed this movie, I was a little hesitant at first, but this film was SO Much more better than Dunkirk, the acting is great, the speical effects are AMAZING, and the way it was directed is amazing, 10/10."
316,kaipeng0113,Groundbreaking and mind blowing
317,bigdmoviefan,"Nolan left me really impressed on this one, being an interesting concept that respects it's rules to the point. This movie can be a mindfuck sometimes, but it's a very good mindfuck."
318,martichiotta,History hates lovers
319,josefamarinn_,Are you sure you are awake?
320,kent kent,THOSE 2 GAY BROS REPRESENTS that i am gay.
321,Brandon Truss,I guess it's time to spend a few days questioning my reality.
322,tlicrose,convinced this is where tiktok shifters manufactured the whole concept
323,maffo_,Senza cillian Murphy che piange non funzionava il film
324,natalie,i too would kiss elliot page in my dreams
325,BrandtsCorner,Christopher Nolan is the Michael Bay for film nerds
326,em,changed the trajectory of my life forever.
327,RiaChatz,christopher nolan has this terrible habit of making really cool and interesting blockbusters and then having the characters speak as if they are written by a 10 year old and also severely sexually repressed
328,Louise,leonardo di caprio? joseph gordon-levitt?? and tom hardy???? all in the same movie???
329,chamurpy,cillian murphy as Robert fischer>>>
330,Charles Radbourn,"Behold the majesty of the infinity of the human dreamscape, where stuff folds and your psycho French ex is still mad at you. We can do better."
331,Blake,A mind bender with a star studded cast that your mind comes back to time and time again.
332,iana_stark,This movie is chef's kiss. This is a masterpiece of a movie. Too good to exist.
333,Oisin Agnew,Imagine your in college one day then doing a dream heist the next
334,leigh,had to pretend i was smart for the entirety of the movie
335,bispan,"You two, just kiss already. The end. Or is it."
336,Emma Schneider,"brb, adding ""Non, je ne regrette rien"" to my get hype playlist"
337,dan!,"namoral quem traduziu o nome desse filme aqui pra ""a origem"" perdeu um puta oportunifsde de botar o nome ""o piao da casa propria"
338,Phlutdroid,"Maybe Nolan's best? His usual visual flair and uniquely convoluted sci-fi/heist premise, without becoming too obtuse for its own good (Tenet). Still striking and thrilling today."
339,Lemon Lilac Laine,"Visually arresting, otherwise boring and masturbatory"
340,nyctonita,"this movie was done very well, but it was just very predictable. however i was throughly entertained throughout the movie."
341,pranav_mogan,"This isn't mindfuck, it's mindfucktimes3threesomes"
342,BombieBombBlitz,Bwaaaah
343,flo,me angustiaba
344,r00ten,wow
345,fortnitemovie,read the wikipedia page and still had no idea what the fuck was happening
346,charlie,"Bro wth!!!! Just wow! amazing, beautiful, spectacular, incredible! oh boy i can't describe how much i loved this"
347,Liight7,Banger
348,lilmonke,Good but has French people
349,rrrricardo ðŸ¦†,Wanna rewatch memento tho?
350,Cameron Mysliwicz,This is sex
351,pulp_dicktion,"good cast, good concept, looks great, but the ending is absolutely nothing."
352,Ethan,Loved the many explosions in the film as a small subtle reference to my brain after watching this.
353,larlarose,the ending. GOD that ending. i swear nothing is real anymore.
354,Kiano Vatandoost,BOOOOOM
355,colinlikesmovie,"Amazing concept, visuals, and score, and performances. I could watch this over and over again."
356,Lui,so to 11 anos atrasada mas chef's kiss
357,ana,O MAIOR FILME DESSE MUNDO
358,Wsherman,Paprika but with Joseph Gordon Levitt and friends
359,Ilhann,Me quede dormido y eso que esta Di Caprio y Cillian Murphy. Gran merito de Nolan
360,Toby,Masterpiece.
361,27 Oct 2021,don't think about elephants
362,ashmintyFresh,ARTHUR YOU SLY BASTARD I <3 U (12:56AM).
363,ibisthebird,kafam guzelken cok anlamliydi ama anlamadim
364,a_userNam,Good
365,noemichem,I still think this is real
366,goplayoutside,"Based on how people talk about it, I was expecting it to be a lot more confusing"
367,avril,taking off half a star bc the plot was getting in the way of tom hardy being fruity af
368,Maryam Hashemi,Confusing an mind bending action tha you woud want to watch morethan once.
369,Carmenâš¡,The special effects send chills down my spine
370,kumquat2001,boring
371,GoatTalk,My mind lost its virginity to this film
372,Aiden,"Reminded me of: Paprika, Dunkirk"
373,annalie,dom cobb
374,Simo 450,MA VATTENE A FARGO
375,Aljaz_Creeper,"2nd best movie from Nolan, right after Dunkirk."
376,Chloe Rikel,Sometimes I feel like I wake up and I had just been incepted. My dreams are off the wall crazy.
377,holly,tom hardy looked really hot in this
378,polisinclair,This film is so mentally draining after dave showed me it I had to go on a retreat. Subsequently failed my A level. Cheers for that.
379,NJDMcConnell,Complete mind fuck.
380,HaydenKendrick,Film about gaslighting whiteman
381,Jordan_Costolo,"Concept was good and made even better by the special effects, kept it interesting and made me want to watch more of it"
382,JohnTVU,eames best character
383,LilNeigh,Idk man I was 7
384,bincha,this movie tastes like metallic ass. not necessarily bad but you know some guy named aidan raved about it like it was the holy fuckin grail. it gets to a point where the audience are literally doing brain workouts just to keep up with the plot and surely you could've been like. a little bit nicer maybe chrissy nols? ending was really good tho. the street doing a backflip on itself was cool but i can do a backflip on a trampoline so you know we're pretty much equally as cool.
385,Skyler,Nice
386,nicolas1805,great cast
387,em,good ass movie
388,owendelvalle,"i liked it, lots of dreams. very long, but i was able to sit through it with like 2 breaks."
389,mun4,Dicaprio is rlly hot in this movie and so is Cillian Murphy. Cool concept also. Classic.
390,Vini Gallichio,MASTERPIECE OR A DREAM?
391,mar,NOLAN
392,alexadair,"An instant classic, such a great twist on what we expect from a guest movie."
